id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
oracle:ebxs.fa.us2.oraclecloud.com:309935,Michael Baker International,Mechanical Engineering Intern,Not stated,True,,Internship,,Design & CAD,"Baltimore, MD, United States",unknown,42,$20–$25/hr,Revit,2026-09-25,date_only,2026-09-25T14:40:22Z,https://ebxs.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2/job/309935
oracle:hdhl.fa.us6.oraclecloud.com:1008000,Stantec,Renewable Energy Civil Intern (Summer 2027),Summer 2027,False,,Internship,,Energy & Power,"Chicago, IL, United States",unknown,,,AutoCAD; Excel,2026-09-25,date_only,2026-09-25T15:07:58Z,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1008000
oracle:hdhl.fa.us6.oraclecloud.com:1008002,Stantec,Renewable Energy Civil Intern (Summer 2027),Summer 2027,False,,Internship,,Energy & Power,"Minneapolis, MN, United States",unknown,,,AutoCAD; Excel,2026-09-25,date_only,2026-09-25T15:07:58Z,https://hdhl.fa.us6.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/1008002
smartrecruiters:BoschGroup:744000151861019,Bosch,"High Performance Vehicle Calibration Co-op, Kettering University - Section B",Not stated,True,,Co-op,,Automotive & Mobility,"Farmington Hills, MI, United States",unknown,188,,,2026-09-25T13:50:23.712Z,exact,2026-09-25T14:07:27Z,https://jobs.smartrecruiters.com/BoschGroup/744000151861019
workday:regalrexnord:/job/Florence-Kentucky-United-States/Manufacturing-Supply-Chain-Co-Op_R26_05084,Regal Rexnord,Manufacturing Supply Chain Co-Op,Not stated,True,,Co-op,,Manufacturing & Process,"Florence, Kentucky, United States",unknown,38,,,2026-09-25T00:00:00Z,date_only,2026-09-25T12:44:53Z,https://regalrexnord.wd1.myworkdayjobs.com/careers/job/Florence-Kentucky-United-States/Manufacturing-Supply-Chain-Co-Op_R26_05084
workday:saabusa:/job/Quincy-MA/Mechanical-Engineering-Co-Op--Summer-2027-_R-03296-1,Saab,Mechanical Engineering Co-Op (Summer 2027),Summer 2027,False,,Co-op,,Design & CAD,"Quincy, MA",citizens-only,,$24.32–$26.76/hr,SolidWorks; GD&T; Tolerance Analysis; PLM/PDM; ASME Y14.5,2026-09-25T00:00:00Z,date_only,2026-09-25T13:09:24Z,https://saabusa.wd1.myworkdayjobs.com/saab_careers/job/Quincy-MA/Mechanical-Engineering-Co-Op--Summer-2027-_R-03296-1
oracle:emit.fa.ca3.oraclecloud.com:95871,WSP,Mechanical Engineering (Transmission) Intern - Summer 2027,Summer 2027,False,,Internship,,Automotive & Mobility,"Portland, OR, United States",unknown,,,,2026-09-25,date_only,2026-09-25T15:40:49Z,https://emit.fa.ca3.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_2001/job/95871
workday:leidos:/job/Albuquerque-NM/Mechanical-Engineering-Intern_R-00193159,Leidos,Mechanical Engineering Intern,Not stated,True,,Internship,,Design & CAD,"Albuquerque, NM",citizens-only,79,,SolidWorks; MATLAB; LabVIEW; Excel,2026-09-25T00:00:00Z,date_only,2026-09-25T15:40:49Z,https://leidos.wd5.myworkdayjobs.com/External/job/Albuquerque-NM/Mechanical-Engineering-Intern_R-00193159
ashby:cowboyspace:b36deadb-2326-4676-86b7-157835a91eaa,Cowboy Space,Avionics Intern,Not stated,True,,Internship,,Aerospace & Defense,"San Carlos, CA or Seattle, WA",citizens-only,,,SolidWorks; Creo; Fusion 360; MATLAB; Python,2026-09-24T23:55:44.856+00:00,exact,2026-09-25T00:42:07Z,https://jobs.ashbyhq.com/cowboyspace/b36deadb-2326-4676-86b7-157835a91eaa
greenhouse:aevexaerospace:5415815008,Aevex Aerospace,Robotics Engineering Co-op,Not stated,True,,Co-op,,Robotics & Controls,"Tampa, Florida, United States",citizens-only,,,Python; C++; ROS,2026-09-24T19:20:41-04:00,exact,2026-09-24T23:58:10Z,https://job-boards.greenhouse.io/aevexaerospace/jobs/5415815008
